ID,MEDV
0,22.963837
1,24.718605
2,14.611443
3,18.470467
4,21.201293
5,21.418553
6,18.163681
7,21.463240
8,33.731086
9,17.502128
10,24.103406
11,19.731495
12,19.198480
13,15.865037
14,18.814785
15,26.756993
16,16.716704
17,24.513585
18,19.879693
19,20.753429
20,24.049391
21,36.941472
22,23.499738
23,11.344084
24,14.692242
25,12.365300
26,15.794477
27,19.503507
28,23.286867
29,15.743098
30,36.222872
31,18.813391
32,17.859980
33,19.168380
34,26.121832
35,20.701515
36,29.239106
37,30.653409
38,39.817225
39,25.463069
40,15.874053
41,30.462004
42,23.147332
43,16.147191
44,19.988328
45,24.363699
46,16.058206
47,23.086526
48,15.775753
49,15.013959
50,19.497776
51,33.926475
52,21.392341
53,4.802457
54,13.375843
55,16.203903
56,19.492246
57,13.182505
58,10.008535
59,17.488039
60,18.677067
61,20.396186
62,32.956403
63,23.440772
64,37.050556
65,32.295344
66,13.899362
67,21.785084
68,24.365747
69,15.055751
70,17.760692
71,17.672534
72,27.137150
73,14.015708
74,19.481172
75,15.971122
76,18.966049
77,31.034952
78,17.340006
79,33.814178
80,32.055059
81,43.935083
82,28.770575
83,28.965722
84,18.212429
85,32.504434
86,14.097886
87,28.063525
88,14.789980
89,19.449147
90,12.894371
91,19.336773
92,13.494222
93,22.070902
94,20.311396
95,23.258556
96,35.643072
97,9.249079
98,14.161426
99,26.359480
100,24.093015
101,16.033947
102,27.684821
103,35.556483
104,15.724601
